Data;IPCA - geral - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCAG12;Meio de pagamento ampliado - M2 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M2NCN12;
1980.01;6,61564916057387;;
1980.02;4,61691885303424;;
1980.03;6,03838866463464;;
1980.04;5,28611382402557;;
1980.05;5,70272065101669;;
1980.06;5,30530430706944;;
1980.07;5,54561209125259;;
1980.08;4,94558244282344;;
1980.09;4,23032531099046;;
1980.10;9,4805311984776;;
1980.11;6,67335975605188;;
1980.12;6,61408363651688;;
1981.01;6,83751111696695;;
1981.02;6,40114938276171;;
1981.03;4,97174813827477;;
1981.04;6,46206675720737;;
1981.05;5,55956004750076;;
1981.06;5,51778345450973;;
1981.07;6,25581958359716;;
1981.08;5,49579588921654;;
1981.09;5,25684049640323;;
1981.10;5,07755623863095;;
1981.11;5,27155769685728;;
1981.12;5,92541066937771;;
1982.01;6,97;;
1982.02;6,63669449796618;;
1982.03;5,71259019568477;;
1982.04;5,88733078811474;;
1982.05;6,65854295413002;;
1982.06;7,1049156490645;;
1982.07;6,35792506805384;;
1982.08;5,97286443069576;;
1982.09;5,08025991265231;;
1982.10;4,44241701172012;;
1982.11;5,28845435947976;;
1982.12;7,80591577510481;;
1983.01;8,64110031457763;;
1983.02;7,85814293174301;;
1983.03;7,34484921714165;;
1983.04;6,57925871889702;;
1983.05;6,48295911045147;;
1983.06;9,88034747269024;;
1983.07;10,0784385260854;;
1983.08;9,11121206320362;;
1983.09;10,3006011324368;;
1983.10;8,86655028717669;;
1983.11;7,38424120483205;;
1983.12;8,67709911366168;;
1984.01;9,66893843794649;;
1984.02;9,50073747527316;;
1984.03;8,93854835530752;;
1984.04;9,54299673817356;;
1984.05;9,05022353152869;;
1984.06;10,080186654476;;
1984.07;9,72466766958673;;
1984.08;9,349208255734;;
1984.09;11,748073391284;;
1984.10;10,4371986364108;;
1984.11;10,5263376674186;;
1984.12;11,9772318197023;;
1985.01;11,7592623142395;;
1985.02;10,8652460303697;;
1985.03;10,1622895878452;;
1985.04;8,19533579264864;;
1985.05;7,19583929607517;;
1985.06;8,49392906572883;;
1985.07;10,3129983324072;;
1985.08;12,0495633121291;;
1985.09;11,1174031746806;;
1985.10;10,616449226659;;
1985.11;13,9729386379311;;
1985.12;15,0730453195001;;
1986.01;14,372350612334;;
1986.02;12,7162572340223;;
1986.03;4,77018576799688;;
1986.04;0,780003209052493;;
1986.05;1,39908695970441;;
1986.06;1,27213974966598;;
1986.07;1,71030699984629;;
1986.08;3,55311008748136;;
1986.09;1,71559599894644;;
1986.10;1,90312887367812;;
1986.11;5,45229256771305;;
1986.12;11,6501578923634;;
1987.01;13,2085420443698;;
1987.02;12,6369622828461;;
1987.03;16,3718886126484;;
1987.04;19,0992440017466;;
1987.05;21,4513604362137;;
1987.06;19,7114041003811;;
1987.07;9,21006335448926;;
1987.08;4,87033868986431;;
1987.09;7,78112778452082;;
1987.10;11,2201362464978;;
1987.11;15,0790605790378;;
1987.12;14,149476080044;;
1988.01;18,8894119486055;;
1988.02;15,6999192311274;;
1988.03;17,6005096449912;;
1988.04;19,289611020104;;
1988.05;17,4196102684731;;
1988.06;21,9999567113798;;
1988.07;21,9100827347729;0,00521047345454545;
1988.08;21,5899025433588;0,00633904145454545;
1988.09;27,4500566281219;0,00787359272727273;
1988.10;25,6199502763823;0,00999458290909091;
1988.11;27,9401182575175;0,0125915054545455;
1988.12;28,7000421554845;0,0168712087272727;
1989.01;37,4900131389703;0,019582181818;
1989.02;16,7799911109576;0,021968;
1989.03;6,81999298355687;0,025624;
1989.04;8,33001328407432;0,0303261818181818;
1989.05;17,9199698809895;0,0324774545454545;
1989.06;28,6499913805517;0,0386487272727273;
1989.07;27,7399781982557;0,0474450909090909;
1989.08;33,7100177014151;0,060924;
1989.09;37,5599986814975;0,0799981818181818;
1989.10;39,7699962388339;0,108494181818182;
1989.11;47,8200013523556;0,148388363636364;
1989.12;51,4999991811612;0,239225818181818;
1990.01;67,5500022769304;0,350736727272727;
1990.02;75,7299986066639;0,660653818181818;
1990.03;82,3899996561932;0,963521454545455;
1990.04;15,5199994367887;0,908961454545455;
1990.05;7,58999959346331;1,02338654545455;
1990.06;11,7500003554595;1,15038181818182;
1990.07;12,9199996725029;1,28708290909091;
1990.08;12,8800001004814;1,48646618181818;
1990.09;14,4100001331324;1,75585890909091;
1990.10;14,360000224235;1,99442145454545;
1990.11;16,8099997421144;2,31575745454545;
1990.12;18,4400001214591;2,82256545454545;
1991.01;20,7499999998929;3,16313272727273;
1991.02;20,7204968944973;3,70301672727273;
1991.03;11,9228922274432;4,30432472727273;
